SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT42.SKIN.1005	0.0036276714294434112	0.008411896337925233	0.008428523002282199	0.003352610922848042	0.005660388679233963	0.0019595917942265423
11712.SUBJECT42.ORAL.990	0.0012806248474865698	0.005141984052872981	0.006988562083862466	0.001	0.0021540659228538018	0.0
11712.SUBJECT4.ORAL.845	0.00795989949685296	0.01902524638473833	0.014062716664997558	0.005063595560468865	0.0	0.0
11712.SUBJECT21.STOOL.456	0.004800000000000002	0.0038	0.0033704599092705435	0.007432361670424825	0.0027129319932501063	0.005455272678794348
11712.SUBJECT21.SKIN.447	0.0050754310161798075	0.01380579588433785	0.018594622878671127	0.0031048349392520072	0.00962496753241277	0.003919183588453088
11712.SUBJECT36.ORAL.774	0.0012	0.011974973903938174	0.009969954864491603	0.002497999199359359	0.0038781438859330636	0.004454211490264014
11712.SUBJECT27.ORAL.576	0.0	0.004363484845854289	0.0037094473981982815	0.0008	0.0008	0.0009797958971132714
11712.SUBJECT1.STOOL.23	0.0008	0.001886796226411321	0.0028913664589601913	0.0008	0.001	0.0006000000000000005
11712.SUBJECT42.SKIN.1002	0.001341640786499874	0.0006000000000000001	0.004176122603564223	0.0008000000000000003	0.0028913664589601926	0.001341640786499874
11712.SUBJECT4.ORAL.842	0.004237924020083418	0.01654690303349841	0.016135674761223965	0.006069596362197407	0.0	0.0008
11712.SUBJECT10.SKIN.43	0.0016	0.0009797958971132714	0.0032802438933713478	0.0006000000000000001	0.002	0.0030983866769659332
11713.15.O.15D	0.004386342439892261	0.0022715633383201092	0.0036055512754639895	0.004004996878900157	0.00132664991614216	0.004647580015448905
11713.4.S.4D	0.0021540659228538018	0.0030983866769659332	0.008296987405076624	0.0023323807579381205	0.0028635642126552704	0.006681317235396025
11713.16.O.16F	0.0014966629547095765	0.0008	0.004600000000000004	0.0014966629547095765	0.00223606797749979	0.005425863986500214
11712.SUBJECT29.SKIN.616	0.0012806248474865698	0.001	0.002088061301782112	0.0	0.0019595917942265423	0.0006000000000000001
11713.10.O.10B	0.003370459909270544	0.003492849839314596	0.009881295461628505	0.0020099751242241798	0.0014000000000000002	0.009951884243699742
11712.SUBJECT36.STOOL.783	0.002939387691339814	0.0	0.2401779340405775	0.0	0.0018330302779823362	0.23850735837705297
11712.SUBJECT11.SKIN.58	0.0014	0.00285657137141714	0.015524174696260024	0.004853864439804638	0.0036660605559646724	0.013268006632497583
11712.SUBJECT22.SKIN.475	0.002835489375751565	0.007485986908885163	0.00974884608556316	0.0006000000000000002	0.003155946767611901	0.004079215610874232
11712.SUBJECT19.SKIN.349	0.010215674231297706	0.017509997144488632	0.022996521476084164	0.0006000000000000001	0.0013999999999999998	0.0020099751242241798
11712.SUBJECT21.SKIN.449	0.0044	0.0031559467676119026	0.00589576118919347	0.00132664991614216	0.003773592452822642	0.0028565713714171423
11713.15.S.15C	0.0017435595774162693	0.0006000000000000001	0.00394461658466316	0.001077032961426901	0.002939387691339814	0.003944616584663205
11712.SUBJECT21.STOOL.458	0.0037363083384538837	0.0	0.0027495454169735043	0.0009797958971132711	0.00132664991614216	0.0
11712.SUBJECT4.STOOL.864	0.0012000000000000001	0.0016	0.002863564212655273	0.0	0.0026000000000000003	0.001326649916142161
11713.16.S.16A	0.003255764119219941	0.0024413111231467405	0.009635351576356725	0.004715930449020638	0.000916515138991168	0.012006664815842873
11713.5.F.5C	0.0006000000000000001	0.0	0.003352610922848045	0.0	0.0031304951684997056	0.0006
11712.SUBJECT38.SKIN.814	0.0018439088914585773	0.00132664991614216	0.0028913664589601948	0.0	0.0018867962264113207	0.0006000000000000001
11713.10.S.10E	0.000916515138991168	0.0	0.0033526109228480044	0.0	0.00351567916624939	0.0013416407864998735
11712.SUBJECT1.SKIN.12	0.0013266499161421602	0.0027495454169735043	0.004651881339845207	0.0024000000000000002	0.0023748684174075834	0.002690724809414723
11713.17.F.17A	0.0023323807579381205	0.006826419266350405	0.007472616676907763	0.004799999999999999	0.0008	0.008600000000000007
11712.SUBJECT34.ORAL.734	0.002712931993250107	0.00805977667184396	0.008392854103342914	0.0028635642126552704	0.0	0.0008
11712.SUBJECT8.SKIN.1133	0.0012806248474865698	0.0008	0.004363484845854289	0.0006000000000000001	0.0036000000000000003	0.0009797958971132714
11712.SUBJECT30.STOOL.681	0.005157518783291052	0.004800000000000004	0.005782732917920384	0.0025298221281347035	0.000916515138991168	0.0028000000000000004
11712.SUBJECT17.SKIN.225	0.0066	0.0018330302779823362	0.01419295599936815	0.0036660605559646724	0.006499230723708767	0.0048538644398046366
11713.17.F.17F	0.010836973747315251	0.0044	0.006131883886702356	0.006095900261651264	0.0	0.00904433524367602
11712.SUBJECT1.SKIN.15	0.0009165151389911681	0.0012000000000000001	0.0033704599092705466	0.0006000000000000001	0.00285657137141714	0.003249615361854384
